SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1201,2026-09-12,C001,P001,S001,1,100.0
1202,2026-09-12,C002,P002,S002,2,125.5
1203,2026-09-12,C003,P003,S003,3,151.0
1204,2026-09-12,C004,P004,S004,4,176.5
1205,2026-09-12,C005,P005,S005,5,202.0
1206,2026-09-12,C999,P006,S006,1,227.5
1207,2026-09-12,C007,P007,S007,2,253.0
1208,2026-09-12,C008,P008,S008,3,278.5
1209,2026-09-12,C009,P009,S009,4,304.0
1210,2026-09-12,C010,P010,S010,5,329.5
1211,2026-09-12,C011,P999,S011,1,355.0
1212,2026-09-12,C012,P012,S012,2,380.5
1213,2026-09-12,C013,P013,S013,3,406.0
1214,2026-09-12,C014,P014,S014,4,431.5
1215,2026-09-12,C015,P015,S015,5,457.0
1216,2026-09-12,C016,P016,S999,1,482.5
1217,2026-09-12,C017,P017,S017,2,508.0
1218,2026-09-12,C018,P018,S018,3,533.5
1219,2026-09-12,C019,P019,S019,4,559.0
1220,2026-09-12,C020,P020,S020,5,584.5
1221,2026-09-12,C021,P021,S021,-1,100.0
1222,2026-09-12,C022,P022,S022,2,125.5
1223,2026-09-12,C023,P023,S023,3,151.0
1224,2026-09-12,C024,P024,S024,4,176.5
1225,2026-09-12,C025,P025,S025,5,202.0
1226,2026-09-12,C026,P026,S026,1,-50
1227,2026-09-12,C027,P027,S027,2,253.0
1228,2026-09-12,C028,P028,S028,3,278.5
1229,2026-09-12,C029,P029,S029,4,304.0
1230,2026-09-12,C030,P030,S030,5,329.5
1101,2026-09-12,C031,P031,S031,1,355.0
1232,2026-09-12,C032,P032,S032,2,380.5
1233,2026-09-12,C033,P033,S033,3,406.0
1234,2026-09-12,C034,P034,S034,4,431.5
1235,2026-09-12,C035,P035,S035,5,457.0
1236,2026-99-99,C036,P036,S036,1,482.5
1237,2026-09-12,C037,P037,S037,2,508.0
1238,2026-09-12,C038,P038,S038,3,533.5
1239,2026-09-12,C039,P039,S039,4,559.0
1240,2026-09-12,C040,P040,S040,5,584.5
1241,,C041,P041,S041,1,100.0
1242,2026-09-12,C042,P042,S042,2,125.5
1243,2026-09-12,C043,P043,S043,3,151.0
1244,2026-09-12,C044,P044,S044,4,176.5
1245,2026-09-12,C045,P045,S045,5,202.0
1246,2026-09-12,C046,P046,S046,1,227.5
1247,2026-09-12,C047,P047,S047,2,253.0
1248,2026-09-12,C048,P048,S048,3,278.5
1249,2026-09-12,C049,P049,S049,4,304.0
1250,2026-09-12,C050,P050,S050,5,329.5
1251,2026-09-12,C051,P051,S051,1,355.0
1252,2026-09-12,C052,P052,S052,2,380.5
1253,2026-09-12,C053,P053,S053,3,406.0
1254,2026-09-12,C054,P054,S054,4,431.5
1255,2026-09-12,C055,P055,S055,5,457.0
1256,2026-09-12,C056,P056,S056,1,482.5
1257,2026-09-12,C057,P057,S057,2,508.0
1258,2026-09-12,C058,P058,S058,3,533.5
1259,2026-09-12,C059,P059,S059,4,559.0
1260,2026-09-12,C060,P060,S060,5,584.5
1261,2026-09-12,C061,P061,S061,1,100.0
1262,2026-09-12,C062,P062,S062,2,125.5
1263,2026-09-12,C063,P063,S063,3,151.0
1264,2026-09-12,C064,P064,S064,4,176.5
1265,2026-09-12,C065,P065,S065,5,202.0
1266,2026-09-12,C066,P066,S066,1,227.5
1267,2026-09-12,C067,P067,S067,2,253.0
1268,2026-09-12,C068,P068,S068,3,278.5
1269,2026-09-12,C069,P069,S069,4,304.0
1270,2026-09-12,C070,P070,S070,5,329.5
1271,2026-09-12,C071,P071,S071,1,355.0
1272,2026-09-12,C072,P072,S072,2,380.5
1273,2026-09-12,C073,P073,S073,3,406.0
1274,2026-09-12,C074,P074,S074,4,431.5
1275,2026-09-12,C075,P075,S075,5,457.0
1276,2026-09-12,C076,P076,S076,1,482.5
1277,2026-09-12,C077,P077,S077,2,508.0
1278,2026-09-12,C078,P078,S078,3,533.5
1279,2026-09-12,C079,P079,S079,4,559.0
1280,2026-09-12,C080,P080,S080,5,584.5
1281,2026-09-12,C081,P081,S081,1,100.0
1282,2026-09-12,C082,P082,S082,2,125.5
1283,2026-09-12,C083,P083,S083,3,151.0
1284,2026-09-12,C084,P084,S084,4,176.5
1285,2026-09-12,C085,P085,S085,5,202.0
1286,2026-09-12,C086,P086,S086,1,227.5
1287,2026-09-12,C087,P087,S087,2,253.0
1288,2026-09-12,C088,P088,S088,3,278.5
1289,2026-09-12,C089,P089,S089,4,304.0
1290,2026-09-12,C090,P090,S090,5,329.5
1291,2026-09-12,C001,P001,S001,1,355.0
1292,2026-09-12,C002,P002,S002,2,380.5
1293,2026-09-12,C003,P003,S003,3,406.0
1294,2026-09-12,C004,P004,S004,4,431.5
1295,2026-09-12,C005,P005,S005,5,457.0
1296,2026-09-12,C006,P006,S006,1,482.5
1297,2026-09-12,C007,P007,S007,2,508.0
1298,2026-09-12,C008,P008,S008,3,533.5
1299,2026-09-12,C009,P009,S009,4,559.0
1300,2026-09-12,C010,P010,S010,5,584.5
